experiment,gate_index,step_name,classical_fidelity
VBE_N3_a2,1,Init_X,1.0000027642
VBE_N3_a2,2,Super_H(0),1.0000054315
VBE_N3_a2,3,Super_H(1),1.0000216365
VBE_N3_a2,4,Super_H(2),0.9999737516
VBE_N3_a2,5,Super_H(3),0.9999962300
VBE_N3_a2,6,CNOT(8->6),1.000004
VBE_N3_a2,7,CNOT(8->10),0.999996
VBE_N3_a2,8,TOF(10:6->8),1.000010
VBE_N3_a2,9,TOF(0:4->11),0.999937
VBE_N3_a2,10,CNOT(11->9),1.000019
VBE_N3_a2,11,CNOT(9->7),0.999630
VBE_N3_a2,12,CNOT(9->8),0.984140
VBE_N3_a2,13,TOF(8:7->9),0.947413
VBE_N3_a2,14,CNOT(9->10),0.949551
VBE_N3_a2,15,TOF(8:7->9),0.984588
VBE_N3_a2,16,CNOT(9->8),0.950609
VBE_N3_a2,17,CNOT(8->7),0.950413
VBE_N3_a2,18,TOF(10:6->8),0.953389
VBE_N3_a2,19,CNOT(8->10),0.953262
VBE_N3_a2,20,CNOT(10->6),0.951213
VBE_N3_a2,21,CNOT(11->9),0.971821
VBE_N3_a2,22,TOF(0:4->11),0.904599
VBE_N3_a2,23,TOF(0:5->11),0.899809
VBE_N3_a2,24,CNOT(9->7),0.903413
VBE_N3_a2,25,CNOT(11->8),0.905025
VBE_N3_a2,26,CNOT(8->6),0.901164
VBE_N3_a2,27,CNOT(8->10),0.905310
VBE_N3_a2,28,TOF(10:6->8),0.905635
VBE_N3_a2,29,CNOT(9->8),0.900047
VBE_N3_a2,30,TOF(8:7->9),0.908272
VBE_N3_a2,31,CNOT(9->10),0.905651
VBE_N3_a2,32,TOF(8:7->9),0.903446
VBE_N3_a2,33,CNOT(9->8),0.904531
VBE_N3_a2,34,CNOT(8->7),0.900114
VBE_N3_a2,35,TOF(10:6->8),0.899128
VBE_N3_a2,36,CNOT(8->10),0.903681
VBE_N3_a2,37,CNOT(10->6),0.902516
VBE_N3_a2,38,CNOT(6->4),0.899461
VBE_N3_a2,39,CNOT(11->8),0.904174
VBE_N3_a2,40,TOF(0:5->11),0.899852
VBE_N3_a2,41,TOF(0:4->6),0.975540
VBE_N3_a2,42,CNOT(6->4),0.950321
VBE_N3_a2,43,CNOT(7->5),0.984819
VBE_N3_a2,44,TOF(0:5->7),0.953240
VBE_N3_a2,45,TOF(0:4->11),0.947809
VBE_N3_a2,46,CNOT(7->5),0.951008
VBE_N3_a2,47,CNOT(8->6),0.951396
VBE_N3_a2,48,CNOT(8->10),0.950415
VBE_N3_a2,49,TOF(10:6->8),0.951701
VBE_N3_a2,50,CNOT(11->9),0.947908
VBE_N3_a2,51,CNOT(9->7),0.948794
VBE_N3_a2,52,CNOT(9->8),0.949733
VBE_N3_a2,53,TOF(8:7->9),0.951772
VBE_N3_a2,54,CNOT(9->10),0.948770
VBE_N3_a2,55,TOF(8:7->9),0.952839
VBE_N3_a2,56,CNOT(9->8),0.951850
VBE_N3_a2,57,CNOT(8->7),0.954514
VBE_N3_a2,58,TOF(10:6->8),0.949596
VBE_N3_a2,59,CNOT(8->10),0.952954
VBE_N3_a2,60,CNOT(10->6),0.948496
VBE_N3_a2,61,CNOT(11->9),0.949406
VBE_N3_a2,62,TOF(0:4->11),0.950276
VBE_N3_a2,63,TOF(0:5->11),0.982958
VBE_N3_a2,64,CNOT(11->8),0.970499
VBE_N3_a2,65,CNOT(8->6),0.984005
VBE_N3_a2,66,CNOT(8->10),0.970952
VBE_N3_a2,67,TOF(10:6->8),0.971602
VBE_N3_a2,68,CNOT(11->9),0.990187
VBE_N3_a2,69,CNOT(9->7),0.984742
VBE_N3_a2,70,CNOT(9->8),0.990165
VBE_N3_a2,71,TOF(8:7->9),0.990098
VBE_N3_a2,72,CNOT(9->10),0.969653
VBE_N3_a2,73,TOF(8:7->9),0.968959
VBE_N3_a2,74,CNOT(9->8),0.988723
VBE_N3_a2,75,CNOT(8->7),0.972021
VBE_N3_a2,76,TOF(10:6->8),0.972664
VBE_N3_a2,77,CNOT(8->10),0.991545
VBE_N3_a2,78,CNOT(10->6),0.986709
VBE_N3_a2,79,CNOT(11->8),0.991776
VBE_N3_a2,80,CNOT(11->9),0.969182
VBE_N3_a2,81,TOF(0:5->11),0.983352
