 experiment,gate_index,step_name,classical_fidelity
VBE_N4_a3,1,Init_X,0.9999741279
VBE_N4_a3,2,Super_H(0),0.9999771342
VBE_N4_a3,3,Super_H(1),0.9999797940
VBE_N4_a3,4,Super_H(2),0.9999509193
VBE_N4_a3,5,Super_H(3),1.0000254512
VBE_N4_a3,6,Super_H(4),1.0000019781
VBE_N4_a3,7,Super_H(5),1.0000144467
VBE_N4_a3,8,CNOT(14->11),0.999990
VBE_N4_a3,9,TOF(0:6->16),0.999130
VBE_N4_a3,10,CNOT(16->12),1.000128
VBE_N4_a3,11,CNOT(12->9),0.999638
VBE_N4_a3,12,CNOT(12->15),0.998916
VBE_N4_a3,13,TOF(1:9->12),0.993487
VBE_N4_a3,14,CNOT(16->13),0.997328
VBE_N4_a3,15,CNOT(13->10),0.972511
VBE_N4_a3,16,CNOT(13->12),0.990196
VBE_N4_a3,17,TOF(12:10->13),0.972225
VBE_N4_a3,18,CNOT(14->13),0.972708
VBE_N4_a3,19,TOF(13:11->14),0.971663
VBE_N4_a3,20,CNOT(14->15),0.970081
VBE_N4_a3,21,TOF(13:11->14),0.973161
VBE_N4_a3,22,CNOT(14->13),0.971340
VBE_N4_a3,23,CNOT(13->11),0.968153
VBE_N4_a3,24,TOF(12:10->13),0.990872
VBE_N4_a3,25,CNOT(13->12),0.969393
VBE_N4_a3,26,CNOT(12->10),0.969522
VBE_N4_a3,27,CNOT(14->11),0.970872
VBE_N4_a3,28,TOF(15:9->12),0.989001
VBE_N4_a3,29,CNOT(12->15),0.972982
VBE_N4_a3,30,CNOT(15->9),0.969763
VBE_N4_a3,31,CNOT(16->12),0.983516
VBE_N4_a3,32,CNOT(12->9),0.983972
VBE_N4_a3,33,CNOT(12->15),0.983789
VBE_N4_a3,34,TOF(15:9->12),0.985025
VBE_N4_a3,35,CNOT(16->13),0.945673
VBE_N4_a3,36,TOF(0:6->16),0.975278
VBE_N4_a3,37,TOF(0:7->16),0.973536
VBE_N4_a3,38,CNOT(16->13),0.971672
VBE_N4_a3,39,CNOT(13->10),0.973928
VBE_N4_a3,40,CNOT(13->12),0.972218
VBE_N4_a3,41,TOF(12:10->13),0.973127
VBE_N4_a3,42,CNOT(14->13),0.967518
VBE_N4_a3,43,TOF(13:11->14),0.971129
VBE_N4_a3,44,CNOT(14->15),0.975821
VBE_N4_a3,45,TOF(13:11->14),0.974709
VBE_N4_a3,46,CNOT(14->13),0.972124
VBE_N4_a3,47,CNOT(13->11),0.969506
VBE_N4_a3,48,CNOT(11->8),0.970202
VBE_N4_a3,49,TOF(12:10->13),0.967813
VBE_N4_a3,50,CNOT(13->12),0.972896
VBE_N4_a3,51,CNOT(12->10),0.976347
VBE_N4_a3,52,TOF(15:9->12),0.972658
VBE_N4_a3,53,CNOT(12->15),0.972568
VBE_N4_a3,54,CNOT(15->9),0.966691
VBE_N4_a3,55,CNOT(9->6),0.947056
VBE_N4_a3,56,CNOT(16->13),0.949118
VBE_N4_a3,57,TOF(0:7->16),0.944686
VBE_N4_a3,58,TOF(0:6->9),0.949466
VBE_N4_a3,59,CNOT(9->6),0.971763
VBE_N4_a3,60,CNOT(10->7),0.946484
VBE_N4_a3,61,TOF(0:7->10),0.972546
VBE_N4_a3,62,TOF(0:8->11),0.973694
VBE_N4_a3,63,TOF(0:6->16),0.950556
VBE_N4_a3,64,CNOT(10->7),0.947800
VBE_N4_a3,65,CNOT(11->8),0.950398
VBE_N4_a3,66,CNOT(13->10),0.946298
VBE_N4_a3,67,CNOT(16->12),0.983587
VBE_N4_a3,68,CNOT(12->9),0.948627
VBE_N4_a3,69,CNOT(12->15),0.982950
VBE_N4_a3,70,TOF(15:9->12),0.985761
VBE_N4_a3,71,CNOT(13->12),0.982434
VBE_N4_a3,72,TOF(12:10->13),0.984873
VBE_N4_a3,73,CNOT(16->14),0.968704
VBE_N4_a3,74,CNOT(14->11),0.987339
VBE_N4_a3,75,CNOT(14->13),0.980651
VBE_N4_a3,76,TOF(13:11->14),0.988597
VBE_N4_a3,77,CNOT(14->15),0.987249
VBE_N4_a3,78,TOF(13:11->14),0.979848
VBE_N4_a3,79,CNOT(14->13),0.988777
VBE_N4_a3,80,CNOT(13->11),0.987417
VBE_N4_a3,81,TOF(12:10->13),0.989631
VBE_N4_a3,82,CNOT(13->12),0.989270
VBE_N4_a3,83,CNOT(12->10),0.978690
VBE_N4_a3,84,TOF(15:9->12),0.983015
VBE_N4_a3,85,CNOT(12->15),0.985320
VBE_N4_a3,86,CNOT(15->9),0.985919
VBE_N4_a3,87,CNOT(16->12),0.970487
VBE_N4_a3,88,CNOT(12->9),0.967158
VBE_N4_a3,89,CNOT(12->15),0.971684
VBE_N4_a3,90,TOF(15:9->12),0.968130
VBE_N4_a3,91,CNOT(16->14),0.983296
VBE_N4_a3,92,TOF(0:6->16),0.954532
VBE_N4_a3,93,TOF(0:7->16),0.980968
VBE_N4_a3,94,CNOT(16->13),0.967875
VBE_N4_a3,95,CNOT(13->10),0.977956
