gate_index,gate_name,transition_fidelity
1,H(0),0.99751478
2,H(1),0.99791485
2,CP(0_1),0.99949539
3,H(2),1.00118566
3,CP(0_2),1.00121927
3,CP(1_2),0.99776256
4,H(3),0.99897140
4,CP(0_3),0.99932432
4,CP(1_3),0.99351394
4,CP(2_3),0.99359560
5,H(4),0.99640286
5,CP(0_4),0.99929857
5,CP(1_4),0.99949026
5,CP(2_4),0.99901760
5,CP(3_4),0.99623775
6,H(5),0.99624705
6,CP(0_5),1.00101817
6,CP(1_5),0.99889207
6,CP(2_5),1.00054824
6,CP(3_5),0.99225485
6,CP(4_5),0.99730003
7,H(6),0.99097067
7,CP(0_6),0.99959946
7,CP(1_6),1.00047827
7,CP(2_6),0.99959719
7,CP(3_6),0.99766117
7,CP(4_6),0.99988669
7,CP(5_6),0.99628860
8,H(7),0.99983704
8,CP(0_7),0.99988413
8,CP(1_7),1.00003910
8,CP(2_7),0.99927920
8,CP(3_7),0.99890155
8,CP(4_7),0.99935645
8,CP(5_7),0.99745154
8,CP(6_7),0.99624181
9,H(8),0.99671847
9,CP(0_8),0.99985194
9,CP(1_8),0.99971306
9,CP(2_8),0.99986738
9,CP(3_8),0.99852848
9,CP(4_8),0.99925965
9,CP(5_8),0.99903953
9,CP(6_8),0.99985898
9,CP(7_8),0.99840283
10,H(9),0.99773240
10,CP(0_9),1.00016832
10,CP(1_9),0.99994218
10,CP(2_9),0.99961615
10,CP(3_9),1.00013113
10,CP(4_9),0.99991351
10,CP(5_9),0.99916208
10,CP(6_9),0.99868357
10,CP(7_9),0.99767739
10,CP(8_9),0.99772167
11,H(10),0.99798542
11,CP(0_10),0.99999869
11,CP(1_10),1.00045502
11,CP(2_10),1.00013387
11,CP(3_10),0.99995774
11,CP(4_10),0.99963367
11,CP(5_10),1.00024211
11,CP(6_10),0.99803329
11,CP(7_10),0.99864227
11,CP(8_10),0.99948275
11,CP(9_10),0.99714172
12,H(11),0.99789947
12,CP(0_11),0.99986124
12,CP(1_11),1.00024128
12,CP(2_11),1.00030851
12,CP(3_11),0.99984062
12,CP(4_11),0.99971169
12,CP(5_11),1.00000203
12,CP(6_11),0.99951768
12,CP(7_11),0.99916184
12,CP(8_11),0.99987924
12,CP(9_11),0.99877495
12,CP(10_11),0.99704671
13,H(12),0.99965382
13,CP(0_12),0.99998426
13,CP(1_12),0.99986678
13,CP(2_12),1.00005829
13,CP(3_12),0.99990201
13,CP(4_12),1.00027788
13,CP(5_12),1.00027943
13,CP(6_12),1.00006843
13,CP(7_12),0.99975061
13,CP(8_12),0.99954176
13,CP(9_12),1.00007415
13,CP(10_12),0.99629116
13,CP(11_12),0.99854106
14,H(13),0.99720740
14,CP(0_13),0.99957442
14,CP(1_13),1.00002468
14,CP(2_13),0.99973851
14,CP(3_13),1.00001550
14,CP(4_13),0.99993771
14,CP(5_13),1.00002587
14,CP(6_13),0.99991298
14,CP(7_13),0.99958742
14,CP(8_13),0.99930114
14,CP(9_13),0.99924815
14,CP(10_13),0.99898982
14,CP(11_13),1.00038707
14,CP(12_13),0.99673307
15,H(14),1.00017273
15,CP(0_14),0.99998790
15,CP(1_14),1.00013471
15,CP(2_14),1.00003862
15,CP(3_14),0.99999058
15,CP(4_14),0.99966687
15,CP(5_14),1.00009668
15,CP(6_14),1.00014377
15,CP(7_14),0.99997264
15,CP(8_14),1.00031066
15,CP(9_14),0.99998903
15,CP(10_14),0.99989742
15,CP(11_14),0.99914873
15,CP(12_14),0.99924570
15,CP(13_14),0.99901402
16,H(15),1.00064611
16,CP(0_15),0.99997866
16,CP(1_15),1.00023878
16,CP(2_15),0.99984181
16,CP(3_15),0.99997318
16,CP(4_15),0.99991739
16,CP(5_15),1.00012612
16,CP(6_15),0.99986756
16,CP(7_15),0.99969590
16,CP(8_15),0.99983227
16,CP(9_15),0.99964964
16,CP(10_15),0.99998003
16,CP(11_15),1.00001156
16,CP(12_15),1.00030828
16,CP(13_15),1.00067782
16,CP(14_15),0.99626583
17,H(16),0.99792922
17,CP(0_16),1.00014734
17,CP(1_16),1.00021935
17,CP(2_16),0.99986076
17,CP(3_16),1.00011110
17,CP(4_16),0.99978483
17,CP(5_16),0.99995494
17,CP(6_16),1.00003910
17,CP(7_16),0.99959481
17,CP(8_16),0.99989617
17,CP(9_16),0.99997437
17,CP(10_16),0.99975538
17,CP(11_16),1.00004566
17,CP(12_16),0.99911493
17,CP(13_16),0.99911457
17,CP(14_16),0.99853557
17,CP(15_16),0.99820852
18,H(17),0.99975836
18,CP(0_17),0.99999648
18,CP(1_17),1.00001550
18,CP(2_17),0.99997735
18,CP(3_17),1.00015199
18,CP(4_17),1.00014091
18,CP(5_17),0.99988282
18,CP(6_17),1.00035155
18,CP(7_17),1.00000525
18,CP(8_17),1.00003088
18,CP(9_17),0.99932158
18,CP(10_17),0.99986839
18,CP(11_17),0.99988729
18,CP(12_17),0.99984074
18,CP(13_17),1.00088429
18,CP(14_17),0.99870390
18,CP(15_17),0.99934864
18,CP(16_17),0.99822927
19,H(18),0.99917746
19,CP(0_18),0.99988633
19,CP(1_18),1.00014579
19,CP(2_18),1.00007713
19,CP(3_18),0.99977684
19,CP(4_18),1.00006318
19,CP(5_18),0.99983704
19,CP(6_18),0.99999994
19,CP(7_18),1.00008070
19,CP(8_18),0.99997544
19,CP(9_18),1.00001240
19,CP(10_18),1.00007808
19,CP(11_18),0.99983758
19,CP(12_18),0.99975479
19,CP(13_18),0.99946427
19,CP(14_18),0.99905008
19,CP(15_18),0.99970931
19,CP(16_18),0.99754840
19,CP(17_18),1.00158191
20,H(19),0.99809611
20,CP(0_19),0.99995112
20,CP(1_19),0.99992490
20,CP(2_19),1.00011635
20,CP(3_19),1.00001335
20,CP(4_19),0.99993885
20,CP(5_19),1.00009012
20,CP(6_19),1.00006330
20,CP(7_19),1.00020790
20,CP(8_19),1.00008798
20,CP(9_19),1.00017476
20,CP(10_19),1.00024676
20,CP(11_19),0.99997592
20,CP(12_19),0.99995840
20,CP(13_19),0.99974215
20,CP(14_19),0.99994040
20,CP(15_19),0.99951839
20,CP(16_19),0.99969172
20,CP(17_19),1.00018394
20,CP(18_19),0.99763012
21,H(20),0.99803978
21,CP(0_20),1.00015318
21,CP(1_20),0.99988115
21,CP(2_20),0.99989307
21,CP(3_20),1.00004697
21,CP(4_20),0.99966061
21,CP(5_20),1.00012159
21,CP(6_20),0.99968827
21,CP(7_20),0.99990380
21,CP(8_20),0.99999243
21,CP(9_20),0.99984723
21,CP(10_20),0.99971664
21,CP(11_20),1.00044477
21,CP(12_20),0.99990380
21,CP(13_20),1.00002098
21,CP(14_20),0.99991626
21,CP(15_20),0.99981362
21,CP(16_20),1.00036240
21,CP(17_20),0.99999642
21,CP(18_20),0.99781018
21,CP(19_20),0.99748135
22,H(21),0.99767840
22,CP(0_21),1.00020003
22,CP(1_21),0.99989343
22,CP(2_21),1.00003052
22,CP(3_21),0.99997407
22,CP(4_21),1.00000668
22,CP(5_21),0.99998158
22,CP(6_21),1.00020063
22,CP(7_21),0.99994075
22,CP(8_21),0.99998271
22,CP(9_21),1.00010633
22,CP(10_21),0.99980360
22,CP(11_21),0.99994469
22,CP(12_21),0.99999088
22,CP(13_21),0.99997926
22,CP(14_21),0.99982089
22,CP(15_21),0.99965012
22,CP(16_21),0.99947274
22,CP(17_21),1.00021386
22,CP(18_21),0.99993169
22,CP(19_21),0.99816525
22,CP(20_21),0.99993479
23,H(22),0.99865961
23,CP(0_22),0.99962729
23,CP(1_22),0.99989951
23,CP(2_22),0.99980026
23,CP(3_22),1.00003827
23,CP(4_22),0.99559808
23,CP(5_22),1.00019312
23,CP(6_22),1.00002098
23,CP(7_22),0.99995470
23,CP(8_22),1.00000215
23,CP(9_22),0.99986565
23,CP(10_22),1.00007856
23,CP(11_22),1.00049353
23,CP(12_22),1.00007439
23,CP(13_22),0.99981201
23,CP(14_22),1.00012255
23,CP(15_22),0.99990606
23,CP(16_22),1.00009489
23,CP(17_22),0.99949777
23,CP(18_22),1.00038743
23,CP(19_22),1.00007653
23,CP(20_22),0.99890399
23,CP(21_22),0.99902016
24,H(23),0.99946034
24,CP(0_23),1.00002432
24,CP(1_23),1.00015640
24,CP(2_23),0.99988246
24,CP(3_23),0.99997795
24,CP(4_23),0.99990344
24,CP(5_23),0.99994260
24,CP(6_23),0.99988461
24,CP(7_23),1.00006258
24,CP(8_23),0.99993169
24,CP(9_23),0.99996859
24,CP(10_23),0.99989837
24,CP(11_23),1.00005007
24,CP(12_23),1.00005102
24,CP(13_23),0.99990249
24,CP(14_23),1.00009418
24,CP(15_23),1.00004625
24,CP(16_23),0.99987477
24,CP(17_23),0.99944735
24,CP(18_23),0.99966574
24,CP(19_23),1.00041986
24,CP(20_23),1.00018454
24,CP(21_23),0.99954563
24,CP(22_23),0.99760330
25,H(24),1.00018406
25,CP(0_24),0.99995959
25,CP(1_24),1.00011075
25,CP(2_24),1.00002372
25,CP(3_24),1.00000143
25,CP(4_24),1.00006604
25,CP(5_24),0.99997246
25,CP(6_24),1.00004411
25,CP(7_24),0.99999046
25,CP(8_24),0.99999762
25,CP(9_24),0.99987739
25,CP(10_24),1.00012505
25,CP(11_24),0.99998736
25,CP(12_24),1.00003695
25,CP(13_24),0.99989116
25,CP(14_24),0.99989343
25,CP(15_24),0.99990380
25,CP(16_24),1.00002265
25,CP(17_24),1.00000644
25,CP(18_24),0.99979591
25,CP(19_24),0.99990737
25,CP(20_24),1.00015032
25,CP(21_24),1.00037611
25,CP(22_24),0.99945551
25,CP(23_24),1.00035954
