experiment,gate_index,step_name,classical_fidelity
VBE_N15_a4,1,Init_X,0.9999861866
VBE_N15_a4,2,Super_H(0),1.0000180379
VBE_N15_a4,3,Super_H(1),0.9999678396
VBE_N15_a4,4,Super_H(2),1.0000043623
VBE_N15_a4,5,Super_H(3),0.9999451153
VBE_N15_a4,6,Super_H(4),0.9999526516
VBE_N15_a4,7,Super_H(5),0.9999544024
VBE_N15_a4,8,Super_H(6),1.0000247024
VBE_N15_a4,9,Super_H(7),0.9999389574
VBE_N15_a4,10,CNOT(16->12),0.999980
VBE_N15_a4,11,CNOT(17->13),0.999985
VBE_N15_a4,12,CNOT(19->15),0.999976
VBE_N15_a4,13,CNOT(16->20),1.000017
VBE_N15_a4,14,TOF(20:12->16),0.999948
VBE_N15_a4,15,CNOT(17->16),0.999956
VBE_N15_a4,16,TOF(16:13->17),0.999958
VBE_N15_a4,17,TOF(0:8->21),1.000063
VBE_N15_a4,18,CNOT(21->18),1.000001
VBE_N15_a4,19,CNOT(18->14),0.951129
VBE_N15_a4,20,CNOT(18->17),0.984564
VBE_N15_a4,21,TOF(17:14->18),0.954044
VBE_N15_a4,22,CNOT(19->18),0.950439
VBE_N15_a4,23,TOF(18:15->19),0.946460
VBE_N15_a4,24,CNOT(19->20),0.951179
VBE_N15_a4,25,TOF(18:15->19),0.951285
VBE_N15_a4,26,CNOT(19->18),0.947319
VBE_N15_a4,27,CNOT(18->15),0.950957
VBE_N15_a4,28,TOF(17:14->18),0.984163
VBE_N15_a4,29,CNOT(18->17),0.949485
VBE_N15_a4,30,CNOT(17->14),0.950760
VBE_N15_a4,31,TOF(16:13->17),0.948367
VBE_N15_a4,32,CNOT(17->16),0.948766
VBE_N15_a4,33,CNOT(16->13),0.945970
VBE_N15_a4,34,CNOT(17->13),0.947992
VBE_N15_a4,35,TOF(20:12->16),0.953725
VBE_N15_a4,36,CNOT(16->20),0.952488
VBE_N15_a4,37,CNOT(20->12),0.950276
VBE_N15_a4,38,CNOT(16->12),0.950592
VBE_N15_a4,39,CNOT(16->20),0.952905
VBE_N15_a4,40,TOF(20:12->16),0.952242
VBE_N15_a4,41,CNOT(17->16),0.951022
VBE_N15_a4,42,TOF(16:13->17),0.952620
VBE_N15_a4,43,CNOT(21->18),0.975938
VBE_N15_a4,44,TOF(0:8->21),0.902888
VBE_N15_a4,45,TOF(0:9->21),0.900001
VBE_N15_a4,46,CNOT(18->14),0.896127
